"","...1","Show","Season","Episode","Character","Line","Gender","Gender_label","Rownumber","Year","N_words","Year_groups"
"23",45654,"The Big Bang Theory","09","13 – The Empathy Optimisation","Sheldon","Our friends are jerks, and I’m mad at all of them.",0,"male",39416,2016,11,"2014-2017"
"24",49014,"The Big Bang Theory","10","02 – The Military Miniturization","Howard","Would you stop? We’re just gonna be on the other side of campus.",0,"male",42164,2016,13,"2014-2017"
"25",41134,"The Big Bang Theory","08","18 – The Leftover Thermalization","Stuart","In the middle of the night.",0,"male",35557,2015,6,"2014-2017"
"26",488352,"Parks and recreation","6","17","Andy Dwyer","Or, no, we can't, because they moved to prison.",0,"male",48835,2014,8,"2014-2017"
"27",45957,"The Big Bang Theory","09","14 – The Meemaw Materialisation","Raj","Uh, it’s hard to say. I think we’re good, but things like this make me wonder if Emily’s really the right person for me. I mean, did you guys ever have doubts about each other?",0,"male",39661,2016,35,"2014-2017"
"28",37864,"The Big Bang Theory","08","04 – The Hook-Up Reverbration","Emily","Did it not happen?",1,"female",32685,2014,4,"2014-2017"
"29",52691,"The Big Bang Theory","10","17 – The Comic-Con Conundrum","Howard","You know what, I’m not gonna go either. I’m a father now. I’d rather spend time with my family.",0,"male",45374,2017,19,"2014-2017"
"30",529412,"Parks and recreation","7","06","Leslie Knope","Oh, speak of the devil.",1,"female",52941,2015,4,"2014-2017"
"31",519412,"Parks and recreation","7","03","Leslie Knope","Well, I ordered 60 veggie pizzas to Ron's office.",1,"female",51941,2015,8,"2014-2017"
"32",54269,"The Big Bang Theory","10","24 – The Long Distance Dissonance","Penny","Come on. Looks don’t matter to Sheldon. Because he only has eyes for you.",1,"female",46764,2017,14,"2014-2017"
"33",37175,"The Big Bang Theory","08","01 – The Locomotion Interruption","Howard","Ma, I hope you’re decent. Raj is here. You just started seeing naked women again, and I don’t want you to be confused about where the boobs should be.",0,"male",32080,2014,29,"2014-2017"
"34",465182,"Parks and recreation","6","11","Ben Wyatt","I mean, now I'm your boss.",0,"male",46518,2014,5,"2014-2017"
"35",464122,"Parks and recreation","6","11","Donna Meagle","At first, this was funny, but it's gotten out of hand.",1,"female",46412,2014,10,"2014-2017"
"36",41861,"The Big Bang Theory","08","21 – The Communication Deterioration","Howard","No. He is. So I have a dominant personality. We all know that.",0,"male",36197,2015,13,"2014-2017"
"37",55032,"Parks and recreation","7","11","Tom Haverford","Grab Jean-Ralphio, and get these three things.",0,"male",55032,2015,6,"2014-2017"
"38",39291,"The Big Bang Theory","08","10 – The Champagne Reflection","Howard","Ooh, it might be a substitution cipher. We could start with basic cryptanalysis.",0,"male",33941,2014,13,"2014-2017"
"39",51160,"The Big Bang Theory","10","11 – The Birthday Synchronicity","Amy","Is this about the baby?",1,"female",43991,2016,5,"2014-2017"
"40",45765,"The Big Bang Theory","09","13 – The Empathy Optimisation","Leonard","What do we do, kick them off?",0,"male",39519,2016,7,"2014-2017"
"41",48402,"The Big Bang Theory","09","24 – The Convergence Convergence","Bernadette","Are you done with this nonsense?",1,"female",41742,2016,6,"2014-2017"
"42",51233,"The Big Bang Theory","10","11 – The Birthday Synchronicity","Stuart","Hey. Still a loser or did you turn things around while you were gone?",0,"male",44058,2016,14,"2014-2017"
"43",42477,"The Big Bang Theory","08","24 – The Commitment Determination","Penny","Well, now we know, next time we go to the farmers’ market, the order is petting zoo first, then buy vegetables.",1,"female",36699,2015,21,"2014-2017"
"44",477812,"Parks and recreation","6","14","Tom Haverford","Tom's Bistro will have all the classic elements, but with modern twists-- an oak bar, live music, and Sunday brunch with scrambled eggs so fluffy they'll be like little pillows for your bacon.",0,"male",47781,2014,32,"2014-2017"
"45",48531,"The Big Bang Theory","10","01 – The Conjugal Conjecture","Penny","God, I thought my brother fresh out of jail was gonna make everyone uncomfortable, but now this.",1,"female",41820,2016,17,"2014-2017"
"46",49144,"The Big Bang Theory","10","03 -The Dependence Transcendence","Raj","Oh, and did they have kids?",0,"male",42272,2016,6,"2014-2017"
"47",46530,"The Big Bang Theory","09","17 – The Celebration Experimentation","Leonard","Well, where’s that information been this whole time?",0,"male",40134,2016,8,"2014-2017"
"48",48176,"The Big Bang Theory","09","23 – The Line Substitution Solution","Sheldon","Uh, uh, I couldn’t help but notice that you cut the line.",0,"male",41592,2016,12,"2014-2017"
"49",499262,"Parks and recreation","6","19","Ben Wyatt","Leslie, we are in trouble here.",0,"male",49926,2014,5,"2014-2017"
"50",483702,"Parks and recreation","6","16","Andy Dwyer","Can I ask you kind of an important question?",0,"male",48370,2014,8,"2014-2017"
"51",521161,"Parks and recreation","7","04","Leslie Knope","You're building your stupid building on the block next to Pawnee Commons?",1,"female",52116,2015,11,"2014-2017"
"52",42036,"The Big Bang Theory","08","22 – The Graduation Transmission","Amy","I think it’s really nice that you’re sharing this experience with Penny.",1,"female",36348,2015,12,"2014-2017"
"53",39999,"The Big Bang Theory","08","13 – The Anxiety Optimisation","Sheldon","I ask you for one simple thing, and you can’t even do it.",0,"male",34555,2015,13,"2014-2017"
"54",48582,"The Big Bang Theory","10","01 – The Conjugal Conjecture","Penny","Uh, not everything, just, like, the jail and drugs part.",1,"female",41859,2016,10,"2014-2017"
"55",38971,"The Big Bang Theory","08","08 – The Prom Equivalency","Sheldon","There’s no denying I have feelings for you that can’t be explained in any other way. I briefly considered that I had a brain parasite. But that seems even more farfetched. The only conclusion was love. I know what’s happening. This is a panic attack. SoccerMom09 says to lie down with your feet elevated.",0,"male",33649,2014,54,"2014-2017"
"56",46448,"The Big Bang Theory","09","16 – The Positive Negative Reaction","Leonard","Can you focus on what we’re talking about?",0,"male",40073,2016,8,"2014-2017"
"57",37857,"The Big Bang Theory","08","04 – The Hook-Up Reverbration","Penny","Okay, I’m sorry. Did we get off on the wrong foot? Because since the other night, I kind of feel like you might have a problem with me.",1,"female",32678,2014,28,"2014-2017"
"58",46379,"The Big Bang Theory","09","16 – The Positive Negative Reaction","Bernadette","Doctor said I can’t go in the hot tub.",1,"female",40009,2016,9,"2014-2017"
"59",456992,"Parks and recreation","6","10","April Ludgate","The spirit dog committee ruled on that weeks ago.",1,"female",45699,2014,8,"2014-2017"
"60",51150,"The Big Bang Theory","10","11 – The Birthday Synchronicity","Amy","I got a Gryffindor robe for you.",1,"female",43982,2016,7,"2014-2017"
"61",42206,"The Big Bang Theory","08","22 – The Graduation Transmission","Bernadette","Ready to call tech support?",1,"female",36494,2015,5,"2014-2017"
"62",48278,"The Big Bang Theory","09","24 – The Convergence Convergence","Penny","Okay, wait, you’re inviting people to our wedding?",1,"female",41665,2016,8,"2014-2017"
"63",52031,"The Big Bang Theory","10","15 – The Locomotion Reverberation","Penny","Okay, that’s the one to beat.",1,"female",44795,2017,6,"2014-2017"
"64",55029,"Parks and recreation","7","11","Leslie Knope","Is it because I said, ""It's pizza time""?",1,"female",55029,2015,7,"2014-2017"
"65",54219,"The Big Bang Theory","10","24 – The Long Distance Dissonance","Raj","Do you see the way she’s looking at him?",0,"male",46718,2017,9,"2014-2017"
"66",50266,"The Big Bang Theory","10","07 – The Veracity Elasticity","Penny","Do you really mean that?",1,"female",43248,2016,5,"2014-2017"
"67",497622,"Parks and recreation","6","19","Ben Wyatt","So just don't say anything to anyone about anything forever, okay?",0,"male",49762,2014,10,"2014-2017"
"68",41028,"The Big Bang Theory","08","17 – The Colonization Application","Leonard","But it’s an expression of our love.",0,"male",35457,2015,7,"2014-2017"
"69",40271,"The Big Bang Theory","08","14 – The Troll Manifestation","Sheldon","He still hasn’t responded. What’s taking him so long?",0,"male",34798,2015,9,"2014-2017"
"70",477652,"Parks and recreation","6","14","Tom Haverford","God! Can't take this guy anywhere.",0,"male",47765,2014,5,"2014-2017"
"71",41818,"The Big Bang Theory","08","21 – The Communication Deterioration","Leonard","We could be betas. They’re second in charge.",0,"male",36156,2015,8,"2014-2017"
"72",505972,"Parks and recreation","6","20","Ron Swanson","You know, with your courage and small frame, you'd make an excellent coal miner.",0,"male",50597,2014,13,"2014-2017"
"73",494132,"Parks and recreation","6","18","Leslie Knope","Pawnee does not need you.",1,"female",49413,2014,4,"2014-2017"
"74",35968,"The Big Bang Theory","07","20 – The Relationship Diremption","Howard","Oh, that’s what it says on the box. Right next to dishwasher safe.",0,"male",31015,2014,13,"2014-2017"
"75",46811,"The Big Bang Theory","09","18 – The Application Deterioration","Bernadette","Damn. All I got for Valentine’s Day was a postcard saying my Vermont Teddy Bear was back-ordered.",1,"female",40363,2016,17,"2014-2017"
"76",36465,"The Big Bang Theory","07","22 – The Proton Transmogrification","Arthur","I don’t know. I was, I was hoping I was going to haunt my ex-wife.",0,"male",31448,2014,15,"2014-2017"
"77",541231,"Parks and recreation","7","09","Leslie Knope","And my husband, Ben, is a progressive champion of women's rights.",1,"female",54123,2015,10,"2014-2017"
"78",36572,"The Big Bang Theory","07","22 – The Proton Transmogrification","Arthur","I mean, don’t, don’t you see a problem there? I mean, how, how you’re spending your limited time on Earth?",0,"male",31549,2014,20,"2014-2017"
"79",44530,"The Big Bang Theory","09","08 – The Mystery Date Observation","Bernadette","Hey, hey, they’re leaving.",1,"female",38464,2015,4,"2014-2017"
"80",470072,"Parks and recreation","6","12","Ann Perkins","All right, I got my park.",1,"female",47007,2014,5,"2014-2017"
"81",36306,"The Big Bang Theory","07","21 – The Anything Can Happen Recurrence","Amy","Really? What did you do?",1,"female",31309,2014,5,"2014-2017"
"82",50600,"The Big Bang Theory","10","09 – The Geology Elevation","Amy","Sounds like the night we had coitus.",1,"female",43516,2016,7,"2014-2017"
"83",49259,"The Big Bang Theory","10","03 -The Dependence Transcendence","Sheldon","I can’t do it. I’m not as smart as I think I am. I’m so sorry. This is all my fault.",0,"male",42370,2016,21,"2014-2017"
"84",49189,"The Big Bang Theory","10","03 -The Dependence Transcendence","Leonard","That’s not helpful. It’s fun to think about, but it’s not helpful. Hey, Sheldon, we are on a serious time crunch. We can’t do this without you. Can you please pull it together?",0,"male",42309,2016,33,"2014-2017"
"85",539791,"Parks and recreation","7","08","Andy Dwyer","This consulting job could be the answer.",0,"male",53979,2015,6,"2014-2017"
"86",515651,"Parks and recreation","7","03","Leslie Knope","How did you get in here?",1,"female",51565,2015,5,"2014-2017"
"87",49822,"The Big Bang Theory","10","06 – The Foetal Kick Catalyst","Leonard","Yeah. Wow, An appearance by George Lucas… ‘s dermatologist. Oh, I want that autograph.",0,"male",42873,2016,14,"2014-2017"
"88",47086,"The Big Bang Theory","09","19 – The Solder Excursion Diversion","Amy","Will you please tell me where we’re going?",1,"female",40605,2016,8,"2014-2017"
"89",44362,"The Big Bang Theory","09","08 – The Mystery Date Observation","Leonard","What brought this on?",0,"male",38325,2015,4,"2014-2017"
"90",469372,"Parks and recreation","6","12","Leslie Knope","You have to hiss really loud and stomp your feet so they'll leave you alone.",1,"female",46937,2014,14,"2014-2017"
"91",55121,"Parks and recreation","7","11","Leslie Knope","I'm so glad we're leaving.",1,"female",55121,2015,4,"2014-2017"
"92",39606,"The Big Bang Theory","08","11 – The Clean Room Infiltration","Leonard","I’m not doing it. You killed him, you do it.",0,"male",34190,2014,10,"2014-2017"
"93",44282,"The Big Bang Theory","09","07 – The Spock Resonance","Sheldon","Because when I speak at a regular volume, no one seems to believe me that I’ve put this Amy nonsense behind me.",0,"male",38263,2015,22,"2014-2017"
"94",542731,"Parks and recreation","7","09","Jennifer Barkley","Come on, you guys, you know the drill.",1,"female",54273,2015,7,"2014-2017"
"95",51641,"The Big Bang Theory","10","13 – The Romance Recalibration","Raj","It looks like a map from Dungeons and Dragons.",0,"male",44435,2017,9,"2014-2017"
"96",498372,"Parks and recreation","6","19","Ben Wyatt","You want to meditate real quick?",0,"male",49837,2014,5,"2014-2017"
"97",51913,"The Big Bang Theory","10","14 – The Emotion Detection Automation","Raj","Would you stop writing? Wait, so, did all of you go on to better relationships after me?",0,"male",44685,2017,17,"2014-2017"
"98",492861,"Parks and recreation","6","18","Andy Dwyer","Well, if you do collapse, luckily, I know first aid.",0,"male",49286,2014,9,"2014-2017"
"99",46523,"The Big Bang Theory","09","17 – The Celebration Experimentation","Amy","So Sheldon, there’s something I’ve been wanting to talk about but I know it’s kind of a touchy subject.",1,"female",40127,2016,19,"2014-2017"
"100",495392,"Parks and recreation","6","18","Ron Swanson","Sorry we couldn't help you work through your problems.",0,"male",49539,2014,8,"2014-2017"
"101",46694,"The Big Bang Theory","09","17 – The Celebration Experimentation","Leonard","Sheldon, we’ve been together so long, it’s hard to remember a time you weren’t in my life. And believe me, I try. You make me laugh. You make me a better scientist. You make me crazy. You’re more than just my roommate, you’re my brother.",0,"male",40267,2016,45,"2014-2017"
"102",50323,"The Big Bang Theory","10","08 – The Brain Bowl Incubation","Sheldon","How much will it hurt?",0,"male",43298,2016,5,"2014-2017"
"103",45901,"The Big Bang Theory","09","14 – The Meemaw Materialisation","Amy","I’m curious. Why do you call Sheldon Moon Pie?",1,"female",39618,2016,9,"2014-2017"
"104",37333,"The Big Bang Theory","08","02 – The Junior Professor Solution","Bernadette","I don’t want to be pushy, but you’ve never done pharmaceutical sales before. It seems like you could use this time to get a head start.",1,"female",32208,2014,26,"2014-2017"
"105",53508,"The Big Bang Theory","10","21 – The Separation Agitation","Sheldon","She’s younger and far more attractive than he is. They’re copying you two.",0,"male",46098,2017,13,"2014-2017"
"106",34130,"The Big Bang Theory","07","12 – The Hesitation Ramification","Penny","You’re right. I do have you. Mm. Let’s get married.",1,"female",29420,2014,10,"2014-2017"
"107",513051,"Parks and recreation","7","02","Ben Wyatt","I'm Ben, this is April.",0,"male",51305,2015,4,"2014-2017"
"108",47455,"The Big Bang Theory","09","20 – The Big Bear Precipitation","Raj","I buried it there, so we could go home.",0,"male",40943,2016,9,"2014-2017"
"109",34824,"The Big Bang Theory","07","15 – The Locomotive Manipulation","Sheldon","I never want this day to end.",0,"male",29980,2014,7,"2014-2017"
"110",474182,"Parks and recreation","6","13","Leslie Knope","You guys, that's like-- I don't know-- Amazing.",1,"female",47418,2014,7,"2014-2017"
"111",48860,"The Big Bang Theory","10","02 – The Military Miniturization","Sheldon","Or in German, a Besserwisser.",0,"male",42036,2016,5,"2014-2017"
"112",44959,"The Big Bang Theory","09","10 – The Earworm Reverberation","Bernadette","You mean because you played one time in the comic book store?",1,"female",38818,2015,12,"2014-2017"
"113",35959,"The Big Bang Theory","07","20 – The Relationship Diremption","Sheldon","It was. This seemed so elegant at the time, but now I realize I was just a simple country boy seduced by a big city theory with variables in all the right places.",0,"male",31007,2014,33,"2014-2017"
"114",47586,"The Big Bang Theory","09","21 – The Viewing Party Combustion","Sheldon","Hmm, what do you think?",0,"male",41066,2016,5,"2014-2017"
"115",486132,"Parks and recreation","6","16","Ben Wyatt","Here's a place that might work.",0,"male",48613,2014,5,"2014-2017"
"116",45779,"The Big Bang Theory","09","13 – The Empathy Optimisation","Emily","You know, I know he’s a jerk, but I actually feel bad for him.",1,"female",39533,2016,14,"2014-2017"
"117",482712,"Parks and recreation","6","16","Leslie Knope","Ben is meeting with the tent people to finalize those deals.",1,"female",48271,2014,10,"2014-2017"
"118",41850,"The Big Bang Theory","08","21 – The Communication Deterioration","Bernadette","I think I’ll have a beer.",1,"female",36186,2015,6,"2014-2017"
"119",44795,"The Big Bang Theory","09","09 – The Platonic Permutation","Amy","It’s a game where you’re given three people and you choose which one you’d kiss, marry, or kill.",1,"female",38680,2015,18,"2014-2017"
"120",50682,"The Big Bang Theory","10","09 – The Geology Elevation","Sheldon","Excuse me, I need to pay Bert a proper congratulations.",0,"male",43589,2016,10,"2014-2017"
"121",461452,"Parks and recreation","6","11","Ron Swanson","Can we hurry this up, please?",0,"male",46145,2014,5,"2014-2017"
"122",55246,"Parks and recreation","7","12","April Ludgate","One last journey to the weirdest place on earth?",1,"female",55246,2015,8,"2014-2017"
"123",44813,"The Big Bang Theory","09","09 – The Platonic Permutation","Penny","What are you doing?",1,"female",38697,2015,4,"2014-2017"
"124",43364,"The Big Bang Theory","09","03 – The Batchelor Party Corrosion","Penny","Yeah? How did it go? Did she make you crawl into the breaking-up drawer?",1,"female",37496,2015,14,"2014-2017"
"125",54959,"Parks and recreation","7","11","April Ludgate","Actually, you should be President.",1,"female",54959,2015,4,"2014-2017"
"126",52278,"The Big Bang Theory","10","16 – The Allowance Evaporation","Penny","You know, we could’ve come to you guys. You didn’t have to bring the baby here.",1,"female",45004,2017,16,"2014-2017"
"127",50605,"The Big Bang Theory","10","09 – The Geology Elevation","Leonard","What are you doing?",0,"male",43521,2016,4,"2014-2017"
"128",48484,"The Big Bang Theory","09","24 – The Convergence Convergence","Amy","Back to your phone.",1,"female",41792,2016,4,"2014-2017"
"129",48844,"The Big Bang Theory","10","02 – The Military Miniturization","Penny","Would they really do that?",1,"female",42021,2016,5,"2014-2017"
"130",471482,"Parks and recreation","6","13","Donna Meagle","""Thanks for nothing, Donna Meagle.""",1,"female",47148,2014,4,"2014-2017"
"131",531301,"Parks and recreation","7","07","Tom Haverford","As a surprise, I got a matching dress for Lucy.",0,"male",53130,2015,9,"2014-2017"
"132",39219,"The Big Bang Theory","08","10 – The Champagne Reflection","Amy","And he really does have one, you jerks on the comment board.",1,"female",33880,2014,12,"2014-2017"
"133",52834,"The Big Bang Theory","10","18 – The Escape Hatch Identification","Raj","What do I have to be happy about? My life’s a wreck.",0,"male",45504,2017,12,"2014-2017"
"134",505042,"Parks and recreation","6","20","Leslie Knope","Well, you know, you owe me for that pizza.",1,"female",50504,2014,8,"2014-2017"
"135",52196,"The Big Bang Theory","10","15 – The Locomotion Reverberation","Howard","And with all these new skills, you’d be able to fix any model train. You’d be the king of the train store.",0,"male",44942,2017,22,"2014-2017"
"136",505913,"Parks and recreation","6","20","Leslie Knope","Man, I'm gonna miss Pawnee.",1,"female",50591,2014,4,"2014-2017"
"137",50334,"The Big Bang Theory","10","08 – The Brain Bowl Incubation","Amy","Okay. Three, two, and we’re done.",1,"female",43309,2016,6,"2014-2017"
"138",504801,"Parks and recreation","6","20","Andy Dwyer","They never tell you when you go solo that it's just gonna be you up there.",0,"male",50480,2014,15,"2014-2017"
"139",41757,"The Big Bang Theory","08","20 – The Fortification Implementation","Sheldon","G-rated, with a warning for families with babies and toddlers.",0,"male",36098,2015,10,"2014-2017"
"140",526012,"Parks and recreation","7","05","Tom Haverford","The show is a bonanza.",0,"male",52601,2015,4,"2014-2017"
"141",44337,"The Big Bang Theory","09","07 – The Spock Resonance","Bernadette","Okay, I’ll think about it.",1,"female",38305,2015,5,"2014-2017"
"142",34470,"The Big Bang Theory","07","14 – The Convention Conundrum","Howard","T Minus 45 seconds.",0,"male",29704,2014,4,"2014-2017"
"143",49565,"The Big Bang Theory","10","04 – The Cohabitation Experimentation","Penny","The new neighbours are weird.",1,"female",42633,2016,5,"2014-2017"
"144",51929,"The Big Bang Theory","10","14 – The Emotion Detection Automation","Leonard","That was six years ago. I’m talking about tonight.",0,"male",44698,2017,9,"2014-2017"
"145",40379,"The Big Bang Theory","08","15 – The Comic Book Store Regeneration","Sheldon","That’s pretty funny, that does sound like me. But that doesn’t mean that you should be standing on street corners handing out your math to whatever guy comes along.",0,"male",34886,2015,29,"2014-2017"
"146",35614,"The Big Bang Theory","07","18 – The Mommy Observation","Sheldon","What did you do?",0,"male",30692,2014,4,"2014-2017"
"147",55237,"Parks and recreation","7","12","Leslie Knope","And I'm so glad that we are leaving the Parks Department in your hands.",1,"female",55237,2015,13,"2014-2017"
"148",53975,"The Big Bang Theory","10","23 – The Gyroscopic Collapse","Amy","I was, uh, asked to be a visiting researcher at Princeton.",1,"female",46493,2017,11,"2014-2017"
"149",49953,"The Big Bang Theory","10","06 – The Foetal Kick Catalyst","Penny","I assume we’re still talking about the movies, but after today, who knows.",1,"female",42977,2016,13,"2014-2017"
"150",55492,"Parks and recreation","7","12","Tom Haverford","I've gone bust in the past, but it was because I did something reckless.",0,"male",55492,2015,13,"2014-2017"
"151",46428,"The Big Bang Theory","09","16 – The Positive Negative Reaction","Penny","Oh, come on, we’re all grown-ups. We’ve all done it.",1,"female",40054,2016,10,"2014-2017"
"152",48527,"The Big Bang Theory","10","01 – The Conjugal Conjecture","Sheldon","Are you saying that because the things are unspeakable?",0,"male",41816,2016,9,"2014-2017"
"153",48283,"The Big Bang Theory","09","24 – The Convergence Convergence","Sheldon","Because, despite his fame and fortune, he strikes me as a lonely man.",0,"male",41670,2016,13,"2014-2017"
"154",501292,"Parks and recreation","6","20","Ron Swanson","This is not government work.",0,"male",50129,2014,4,"2014-2017"
"155",33958,"The Big Bang Theory","07","12 – The Hesitation Ramification","Leonard","Uh, no reason. I just think it’s sexier when things are left to the imagination.",0,"male",29271,2014,15,"2014-2017"
"156",51164,"The Big Bang Theory","10","11 – The Birthday Synchronicity","Leonard","Come on, everyone to the hospital.",0,"male",43995,2016,6,"2014-2017"
"157",47507,"The Big Bang Theory","09","21 – The Viewing Party Combustion","Penny","What is the problem?",1,"female",40991,2016,4,"2014-2017"
"158",55188,"Parks and recreation","7","12","Leslie Knope","Your confidence, your joie de vivre.",1,"female",55188,2015,5,"2014-2017"
"159",53002,"The Big Bang Theory","10","19 – The Collaboration Fluctuation","Leonard","I understand it, Sheldon.",0,"male",45655,2017,4,"2014-2017"
"160",36677,"The Big Bang Theory","07","23 – The Gorilla Dissolution","Raj","Thanks for skipping the movie. I couldn’t sit in that theatre for two hours wondering about Emily and that guy.",0,"male",31632,2014,20,"2014-2017"
"161",54360,"The Big Bang Theory","10","24 – The Long Distance Dissonance","Penny","Will you go with me?",1,"female",46835,2017,5,"2014-2017"
"162",518971,"Parks and recreation","7","03","Tom Haverford","Who cares about some dumb grandpa and his tin ball? That's the past.",0,"male",51897,2015,12,"2014-2017"
"163",53193,"Parks and recreation","7","07","Leslie Knope","Jen, thank you so much for coming but we have to go.",1,"female",53193,2015,11,"2014-2017"
"164",511322,"Parks and recreation","7","02","April Ludgate","Hi, my name is April.",1,"female",51132,2015,4,"2014-2017"
"165",49731,"The Big Bang Theory","10","05 – The Hot Tub Contamination","Leonard","Oh, true, but think of how much you’ve accomplished. Who got him to stop Purelling his pocket change?",0,"male",42787,2016,18,"2014-2017"
"166",41878,"The Big Bang Theory","08","21 – The Communication Deterioration","Sheldon","All right, then. You should take a third train where you audition for the movie but hold off on making a career decision until you have more information.",0,"male",36213,2015,28,"2014-2017"
"167",33962,"The Big Bang Theory","07","12 – The Hesitation Ramification","Leonard","Is it true even when the man lets his dog lick peanut butter off his tongue?",0,"male",29274,2014,16,"2014-2017"
"168",46303,"The Big Bang Theory","09","16 – The Positive Negative Reaction","Bernadette","Oh, it’s okay, you’ll figure it out.",1,"female",39938,2016,7,"2014-2017"
"169",482671,"Parks and recreation","6","16","Leslie Knope","Yeah, okay, let's do this.",1,"female",48267,2014,4,"2014-2017"
"170",47430,"The Big Bang Theory","09","20 – The Big Bear Precipitation","Penny","Well, I have a secret I’ve been keeping from you, too.",1,"female",40919,2016,11,"2014-2017"
"171",47331,"The Big Bang Theory","09","20 – The Big Bear Precipitation","Sheldon","Eh, most of the Jenga pieces are missing and the Scrabble only has seven tiles, so unless you want to build an unimpressive structure with the word shnerpf next to it, move on.",0,"male",40826,2016,33,"2014-2017"
"172",43845,"The Big Bang Theory","09","05 – The Perspiration Implementation","Amy","Well, I was hoping the next person I dated would be a little less like Sheldon.",1,"female",37901,2015,16,"2014-2017"
"173",43070,"The Big Bang Theory","09","02 – The Separation Oscillation","Bernadette","I guess that’s true.",1,"female",37240,2015,4,"2014-2017"
"174",500761,"Parks and recreation","6","20","Leslie Knope","I cut out your face and made it look like you were dunking over Charles Barkley.",1,"female",50076,2014,15,"2014-2017"
"175",38135,"The Big Bang Theory","08","05 – The Focus Attenuation","Leonard","What do you mean?",0,"male",32939,2014,4,"2014-2017"
"176",493602,"Parks and recreation","6","18","Andy Dwyer","We wanted to talk to you about the Unity Concert in Pawnee.",0,"male",49360,2014,11,"2014-2017"
