Unnamed: 0,Show,Season,Episode,Character,Line,Gender,Gender_label,Rownumber,Year,N_words,Year_groups,text,sentiment
435734,Frasier,10,1,Daphne,"I should go.  I'll tell you everything when we get back.  Okay, bye.",2,female,43573,2002,14,2002-2005,"I should go.  I'll tell you everything when we get back.  Okay, bye.",neutral
435754,Frasier,10,1,Niles,"He never said You may kiss the bride.""",1,male,43575,2002,7,2002-2005,"He never said You may kiss the bride.""",neutral
435764,Frasier,10,1,Daphne,You may kiss the bride.,2,female,43576,2002,4,2002-2005,You may kiss the bride.,neutral
435774,Frasier,10,1,Frasier,"Chop, chop, Dad!  Let's get a move on!  The last time I was late for the farmer's market, I got the worst of the squash blossoms.",1,male,43577,2002,27,2002-2005,"Chop, chop, Dad!  Let's get a move on!  The last time I was late for the farmer's market, I got the worst of the squash blossoms.",negative
435784,Frasier,10,1,Martin,"Oh, whatever shall we serve the Duchess?",1,male,43578,2002,6,2002-2005,"Oh, whatever shall we serve the Duchess?",neutral
435804,Frasier,10,1,Martin,"I said I'm coming.""  And it's not my fault I'm late, it's Daphne's. I don't know where she is, I had to make my own lunch.",1,male,43580,2002,26,2002-2005,"I said I'm coming.""  And it's not my fault I'm late, it's Daphne's. I don't know where she is, I had to make my own lunch.",negative
435819,Frasier,10,1,Frasier,"Oh, dear lord, give it here.",1,male,43581,2002,5,2002-2005,"Oh, dear lord, give it here.",positive
435824,Frasier,10,1,Frasier,"Two bags of chips, three puddin' cups, and a root beer.",1,male,43582,2002,10,2002-2005,"Two bags of chips, three puddin' cups, and a root beer.",neutral
435844,Frasier,10,1,Frasier,"A, this is not a lunch, and B, I fail to see how it took you so long since you did not make anything but simply transferred smaller containers into a larger one.  Let's go!",1,male,43584,2002,35,2002-2005,"A, this is not a lunch, and B, I fail to see how it took you so long since you did not make anything but simply transferred smaller containers into a larger one.  Let's go!",negative
435874,Frasier,10,1,Martin,Where have you been?  I had to make my own lunch.,1,male,43587,2002,11,2002-2005,Where have you been?  I had to make my own lunch.,neutral
435894,Frasier,10,1,Daphne,We've got some big news.,2,female,43589,2002,4,2002-2005,We've got some big news.,positive
435904,Frasier,10,1,Niles,"Yes, um, maybe they should sit down.",1,male,43590,2002,6,2002-2005,"Yes, um, maybe they should sit down.",neutral
435924,Frasier,10,1,Daphne,"Well, last night, I told Niles that I wanted to marry him right then and there.",2,female,43592,2002,15,2002-2005,"Well, last night, I told Niles that I wanted to marry him right then and there.",neutral
435934,Frasier,10,1,Niles,"And once I realized she was serious, we rushed out into the night, fully intending to.",1,male,43593,2002,15,2002-2005,"And once I realized she was serious, we rushed out into the night, fully intending to.",neutral
435944,Frasier,10,1,Daphne,"But then we found out that in Washington, it takes three days to get a marriage license.",2,female,43594,2002,16,2002-2005,"But then we found out that in Washington, it takes three days to get a marriage license.",neutral
435973,Frasier,10,1,Frasier,"Why?!  If we had missed your wedding, well it would have just killed me.",1,male,43597,2002,14,2002-2005,"Why?!  If we had missed your wedding, well it would have just killed me.",negative
435994,Frasier,10,1,Frasier,"Well of course it would.  Niles, we've been there through the last ten tortured years of your courtship.  How could we not be hurt if we missed the wedding?",1,male,43599,2002,30,2002-2005,"Well of course it would.  Niles, we've been there through the last ten tortured years of your courtship.  How could we not be hurt if we missed the wedding?",negative
436004,Frasier,10,1,Niles,"But surely you could understand if, if someone were carried away by their emotions...",1,male,43600,2002,13,2002-2005,"But surely you could understand if, if someone were carried away by their emotions...",neutral
436019,Frasier,10,1,Martin,"Well, I'm just glad it turned out the way that it did, because it would've just broken my heart.",1,male,43601,2002,18,2002-2005,"Well, I'm just glad it turned out the way that it did, because it would've just broken my heart.",negative
436024,Frasier,10,1,Niles,"Well, we didn't come here to break anyone's heart.  We came here to tell you that there's a wedding in three days!",1,male,43602,2002,22,2002-2005,"Well, we didn't come here to break anyone's heart.  We came here to tell you that there's a wedding in three days!",positive
436043,Frasier,10,1,Niles,"Yes, we're going to have a simple ceremony at the courthouse.",1,male,43604,2002,10,2002-2005,"Yes, we're going to have a simple ceremony at the courthouse.",neutral
436054,Frasier,10,1,Frasier,"That is just wonderful!  And you know what?  By way of a celebration, please allow me to treat us all to dinner at Couer du Singe.  How does that sound, eh?",1,male,43605,2002,33,2002-2005,"That is just wonderful!  And you know what?  By way of a celebration, please allow me to treat us all to dinner at Couer du Singe.  How does that sound, eh?",positive
436094,Frasier,10,1,Roz,"You want to go to the dog park?Oh, my God! You guys are here!",2,female,43609,2002,13,2002-2005,"You want to go to the dog park?Oh, my God! You guys are here!",positive
436119,Frasier,10,1,Niles,"Um, we were just talking about our wedding.",1,male,43611,2002,7,2002-2005,"Um, we were just talking about our wedding.",neutral
436124,Frasier,10,1,Roz,"Oh, good, I want to hear all about it.",2,female,43612,2002,8,2002-2005,"Oh, good, I want to hear all about it.",positive
436134,Frasier,10,1,Daphne,We're going to have a small civil ceremony on Friday.,2,female,43613,2002,9,2002-2005,We're going to have a small civil ceremony on Friday.,neutral
436144,Frasier,10,1,Frasier,"Yes, if you'll excuse me, I'm in a rush to get to the farmer's market.",1,male,43614,2002,14,2002-2005,"Yes, if you'll excuse me, I'm in a rush to get to the farmer's market.",neutral
436153,Frasier,10,1,Niles,At this hour?  I hope you like listless radicchio.,1,male,43615,2002,9,2002-2005,At this hour?  I hope you like listless radicchio.,negative
436163,Frasier,10,1,Roz,"Okay, what the hell?  I thought you guys got married in Reno.",2,female,43616,2002,12,2002-2005,"Okay, what the hell?  I thought you guys got married in Reno.",negative
436174,Frasier,10,1,Daphne,"We did.  But as we were trying to tell Mr. Crane and Dr. Crane, they told us how hurt they'd be if we got married without them.",2,female,43617,2002,27,2002-2005,"We did.  But as we were trying to tell Mr. Crane and Dr. Crane, they told us how hurt they'd be if we got married without them.",negative
436184,Frasier,10,1,Niles,"Yes, which, in the moment, failed to occur to us.  So, to spare their feelings, we're having a fake wedding on Friday.",1,male,43618,2002,22,2002-2005,"Yes, which, in the moment, failed to occur to us.  So, to spare their feelings, we're having a fake wedding on Friday.",negative
436194,Frasier,10,1,Roz,"Well, that works for me, because Alice is still counting on being a flower girl.",2,female,43619,2002,14,2002-2005,"Well, that works for me, because Alice is still counting on being a flower girl.",positive
436224,Frasier,10,1,Roz,"So if you guys have two weddings, when's your anniversary going to be?",2,female,43622,2002,12,2002-2005,"So if you guys have two weddings, when's your anniversary going to be?",neutral
436234,Frasier,10,1,Daphne,"Well, to keep up appearances, I suppose it'll have to be the second one, won't it?",2,female,43623,2002,15,2002-2005,"Well, to keep up appearances, I suppose it'll have to be the second one, won't it?",neutral
436244,Frasier,10,1,Niles,"Well, we could celebrate two anniversaries.  A public one, and then a second, secret one just for us.",1,male,43624,2002,18,2002-2005,"Well, we could celebrate two anniversaries.  A public one, and then a second, secret one just for us.",positive
436254,Frasier,10,1,Daphne,"Oh, I like that.  Sort of sexy having an anniversary only two of us know about.",2,female,43625,2002,16,2002-2005,"Oh, I like that.  Sort of sexy having an anniversary only two of us know about.",positive
436273,Frasier,10,1,Niles,I still can't believe we're married.,1,male,43627,2002,5,2002-2005,I still can't believe we're married.,positive
436294,Frasier,10,1,Roz,And we're the only ones who know.,2,female,43629,2002,6,2002-2005,And we're the only ones who know.,neutral
436304,Frasier,10,1,Daphne,"You know, we should celebrate.",2,female,43630,2002,4,2002-2005,"You know, we should celebrate.",positive
436319,Frasier,10,1,Niles,How about going to the dog park?,1,male,43631,2002,6,2002-2005,How about going to the dog park?,neutral
436324,Frasier,10,1,Daphne,"Well, that doesn't sound very romantic.",2,female,43632,2002,5,2002-2005,"Well, that doesn't sound very romantic.",negative
436334,Frasier,10,1,Niles,I'm not talking to you.,1,male,43633,2002,4,2002-2005,I'm not talking to you.,neutral
436354,Frasier,10,1,Daphne,Less than last time.  I guess it helps to have had a rehearsal.,2,female,43635,2002,13,2002-2005,Less than last time.  I guess it helps to have had a rehearsal.,positive
436364,Frasier,10,1,Niles,"It wasn't a rehearsal, it was the real thing.  This is just a... touring company performance.",1,male,43636,2002,16,2002-2005,"It wasn't a rehearsal, it was the real thing.  This is just a... touring company performance.",neutral
436384,Frasier,10,1,Roz,I'm better at it when someone's not screaming in my ear.,2,female,43638,2002,10,2002-2005,I'm better at it when someone's not screaming in my ear.,positive
436394,Frasier,10,1,Roz,"When we get home, you're getting ice cream.",2,female,43639,2002,7,2002-2005,"When we get home, you're getting ice cream.",neutral
436404,Frasier,10,1,Frasier,"We're all here, your honor.",1,male,43640,2002,4,2002-2005,"We're all here, your honor.",positive
436419,Frasier,10,1,Daphne,"Mum, we're not going to the church, we're getting married here.",2,female,43641,2002,10,2002-2005,"Mum, we're not going to the church, we're getting married here.",neutral
436424,Frasier,10,1,Niles,We're having a civil ceremony.,1,male,43642,2002,4,2002-2005,We're having a civil ceremony.,neutral
436444,Frasier,10,1,Martin,"Gertrude, I was in favor of a church wedding too, but this is their day, not ours.  Maybe we should just let them decide how it's gonna be.",1,male,43644,2002,28,2002-2005,"Gertrude, I was in favor of a church wedding too, but this is their day, not ours.  Maybe we should just let them decide how it's gonna be.",neutral
436454,Frasier,10,1,Frasier,"I'll handle this, Your Honor.  Mrs. Moon, you have my personal guarantee that this will not be a Godless union.  For if you truly believe in the omniscience and omnipresence of the Lord, then surely are we not always in His presence?",1,male,43645,2002,43,2002-2005,"I'll handle this, Your Honor.  Mrs. Moon, you have my personal guarantee that this will not be a Godless union.  For if you truly believe in the omniscience and omnipresence of the Lord, then surely are we not always in His presence?",positive
436464,Frasier,10,1,Niles,"Perhaps, given the depth of feeling here, it would be best to wait.",1,male,43646,2002,12,2002-2005,"Perhaps, given the depth of feeling here, it would be best to wait.",neutral
436474,Frasier,10,1,Frasier,"Yes, well, I suppose we could find a church in reasonably short order.",1,male,43647,2002,12,2002-2005,"Yes, well, I suppose we could find a church in reasonably short order.",neutral
436493,Frasier,10,1,Niles,We'll call you when we've cleared this all up.,1,male,43649,2002,8,2002-2005,We'll call you when we've cleared this all up.,neutral
436519,Frasier,10,1,Frasier,"That we do!  On your fiery throne presiding over the damned!  All right, lets let's go.",1,male,43651,2002,16,2002-2005,"That we do!  On your fiery throne presiding over the damned!  All right, lets let's go.",neutral
436524,Frasier,10,1,Martin,Where are we gonna find a clergyman who'll perform on such short notice?,1,male,43652,2002,12,2002-2005,Where are we gonna find a clergyman who'll perform on such short notice?,negative
436534,Frasier,10,1,Frasier,"Hey, maybe the judge knows somebody.  Hang on a second here.  Your honor...",1,male,43653,2002,14,2002-2005,"Hey, maybe the judge knows somebody.  Hang on a second here.  Your honor...",neutral
436544,Frasier,10,1,Niles,"I'm sorry, Daphne.  But it'll just be a few days, and then we can be married.",1,male,43654,2002,16,2002-2005,"I'm sorry, Daphne.  But it'll just be a few days, and then we can be married.",neutral
436554,Frasier,10,1,Daphne,We already are.  This is supposed to be the happiest time of my life. I want to wear my wedding ring.  I'm Mrs. Niles Crane and I don't want to keep it a secret.,2,female,43655,2002,35,2002-2005,We already are.  This is supposed to be the happiest time of my life. I want to wear my wedding ring.  I'm Mrs. Niles Crane and I don't want to keep it a secret.,positive
436564,Frasier,10,1,Niles,You just want to tell them the truth?,1,male,43656,2002,7,2002-2005,You just want to tell them the truth?,neutral
436574,Frasier,10,1,Daphne,Too complicated.  Let's just get married again.,2,female,43657,2002,7,2002-2005,Too complicated.  Let's just get married again.,neutral
436594,Frasier,10,1,Frasier,What?  What about Mrs. Moon?,1,male,43659,2002,5,2002-2005,What?  What about Mrs. Moon?,neutral
436604,Frasier,10,1,Daphne,"I'm sorry she'll miss it, but that's her choice.  Your honor, we've changed our minds, we want to be married.",2,female,43660,2002,20,2002-2005,"I'm sorry she'll miss it, but that's her choice.  Your honor, we've changed our minds, we want to be married.",neutral
436623,Frasier,10,1,Daphne,"Actually,  we've written our own vows.",2,female,43662,2002,6,2002-2005,"Actually,  we've written our own vows.",neutral
436633,Frasier,10,1,Daphne,"I, Daphne Moon, do take thee, Niles Crane, as my husband.  I promise you my fidelity and my support, my laughter and my tears...",2,female,43663,2002,24,2002-2005,"I, Daphne Moon, do take thee, Niles Crane, as my husband.  I promise you my fidelity and my support, my laughter and my tears...",positive
436643,Frasier,10,1,Martin,"Frasier, you said you wouldn't do this!",1,male,43664,2002,6,2002-2005,"Frasier, you said you wouldn't do this!",neutral
436654,Frasier,10,1,Frasier,I say a lot of things.,1,male,43665,2002,5,2002-2005,I say a lot of things.,neutral
436664,Frasier,10,1,Niles,"Oh, Frasier, thank you so much for dinner.",1,male,43666,2002,7,2002-2005,"Oh, Frasier, thank you so much for dinner.",positive
436684,Frasier,10,1,Frasier,"It was my pleasure.  Dad, don't you have something to add?",1,male,43668,2002,11,2002-2005,"It was my pleasure.  Dad, don't you have something to add?",positive
436693,Frasier,10,1,Martin,"I already said thank you for dinner.  What am I supposed to do, get down on my knees and kowtow to your fancy ass American Express card?",1,male,43669,2002,26,2002-2005,"I already said thank you for dinner.  What am I supposed to do, get down on my knees and kowtow to your fancy ass American Express card?",neutral
436704,Frasier,10,1,Frasier,"No, I was referring to the gift we have for them.",1,male,43670,2002,10,2002-2005,"No, I was referring to the gift we have for them.",positive
436719,Frasier,10,1,Martin,"Oh!  Right, I forgot about that.  Yeah, and thanks for dinner, Fraizh, it really was excellent.  I didn't think I'd like beef cheeks.",1,male,43671,2002,25,2002-2005,"Oh!  Right, I forgot about that.  Yeah, and thanks for dinner, Fraizh, it really was excellent.  I didn't think I'd like beef cheeks.",positive
436724,Frasier,10,1,Frasier,"Yes, yes!  Dad, give them the gift.",1,male,43672,2002,7,2002-2005,"Yes, yes!  Dad, give them the gift.",positive
436734,Frasier,10,1,Daphne,"This is so exciting, our first wedding present.",2,female,43673,2002,7,2002-2005,"This is so exciting, our first wedding present.",positive
436744,Frasier,10,1,Daphne,It's a silver picture frame!,2,female,43674,2002,4,2002-2005,It's a silver picture frame!,positive
436764,Frasier,10,1,Frasier,"And nota bene, it's been engraved with today's date in order to commemorate your wedding date until your real gift arrives.",1,male,43676,2002,20,2002-2005,"And nota bene, it's been engraved with today's date in order to commemorate your wedding date until your real gift arrives.",neutral
436774,Frasier,10,1,Daphne,It's very sweet.  Thank you Mr. Crane and Dr. Crane.,2,female,43677,2002,10,2002-2005,It's very sweet.  Thank you Mr. Crane and Dr. Crane.,positive
436784,Frasier,10,1,Martin,"You can't call us that anymore, we're family now.",1,male,43678,2002,8,2002-2005,"You can't call us that anymore, we're family now.",neutral
436794,Frasier,10,1,Daphne,"So we are.  Well, thank you... Frasier.  Oh, that feels strange.",2,female,43679,2002,12,2002-2005,"So we are.  Well, thank you... Frasier.  Oh, that feels strange.",neutral
436824,Frasier,10,1,Martin,Or Martin.  Whatever makes you feel comfortable.,1,male,43682,2002,7,2002-2005,Or Martin.  Whatever makes you feel comfortable.,neutral
436833,Frasier,10,1,Daphne,"Oh, thank you Mr. Crane.",2,female,43683,2002,4,2002-2005,"Oh, thank you Mr. Crane.",positive
436854,Frasier,10,1,Daphne,"Well, I better go and figure out what to pack for the honeymoon.",2,female,43685,2002,12,2002-2005,"Well, I better go and figure out what to pack for the honeymoon.",neutral
436864,Frasier,10,1,Niles,I'm just bringing sun screen.,1,male,43686,2002,4,2002-2005,I'm just bringing sun screen.,neutral
436874,Frasier,10,1,Frasier,Pardon me.  I have to go and poke out my mind's eye.,1,male,43687,2002,12,2002-2005,Pardon me.  I have to go and poke out my mind's eye.,neutral
436884,Frasier,10,1,Martin,"Oh, you're lucky.  I always wanted to go to Bora Bora.",1,male,43688,2002,11,2002-2005,"Oh, you're lucky.  I always wanted to go to Bora Bora.",positive
436894,Frasier,10,1,Niles,"Oh, it's going to be fantastic, Dad.  We're staying in a thatched hut built out over the water.  In the middle of the floor there's a window where you can look straight down to the bottom of the ocean.",1,male,43689,2002,40,2002-2005,"Oh, it's going to be fantastic, Dad.  We're staying in a thatched hut built out over the water.  In the middle of the floor there's a window where you can look straight down to the bottom of the ocean.",positive
436904,Frasier,10,1,Martin,"Well, I hope it's not too deep.  When we went to the top of the Space Needle and you looked down, you got sick.",1,male,43690,2002,24,2002-2005,"Well, I hope it's not too deep.  When we went to the top of the Space Needle and you looked down, you got sick.",negative
436924,Frasier,10,1,Martin,All over that poor Japanese tour group.,1,male,43692,2002,6,2002-2005,All over that poor Japanese tour group.,negative
436944,Frasier,10,1,Martin,"And when I yelled down to warn them, they just looked up.",1,male,43694,2002,11,2002-2005,"And when I yelled down to warn them, they just looked up.",negative
436954,Frasier,10,1,Niles,That was three years ago!,1,male,43695,2002,4,2002-2005,That was three years ago!,neutral
436974,Frasier,10,1,Niles,"I'm sorry, no.  Actually...",1,male,43697,2002,4,2002-2005,"I'm sorry, no.  Actually...",negative
437019,Frasier,10,1,Daphne,"Oh, of course you'll be there.",2,female,43701,2002,5,2002-2005,"Oh, of course you'll be there.",positive
437024,Frasier,10,1,Daphne,We'll go right back to that courthouse tomorrow and resume where we left off.,2,female,43702,2002,13,2002-2005,We'll go right back to that courthouse tomorrow and resume where we left off.,neutral
437034,Frasier,10,1,Frasier,"Ah, Mrs. Moon, I see you've made peace with the wedding.",1,male,43703,2002,10,2002-2005,"Ah, Mrs. Moon, I see you've made peace with the wedding.",positive
437044,Frasier,10,1,Niles,"Yes, Mrs. Moon has rescinded her ultimatum, so we're having the wedding tomorrow.",1,male,43704,2002,12,2002-2005,"Yes, Mrs. Moon has rescinded her ultimatum, so we're having the wedding tomorrow.",neutral
437054,Frasier,10,1,Frasier,"Ah!  Niles, may I have a word with you?",1,male,43705,2002,9,2002-2005,"Ah!  Niles, may I have a word with you?",neutral
437074,Frasier,10,1,Frasier,What the hell's going on?  You guys already got married.,1,male,43707,2002,10,2002-2005,What the hell's going on?  You guys already got married.,negative
437084,Frasier,10,1,Niles,"Yes, but she doesn't know that.  So, tomorrow we're going to have another ceremony for her benefit.",1,male,43708,2002,17,2002-2005,"Yes, but she doesn't know that.  So, tomorrow we're going to have another ceremony for her benefit.",neutral
437109,Frasier,10,1,Niles,"It may be, but I'm afraid the truth would crush her.",1,male,43710,2002,10,2002-2005,"It may be, but I'm afraid the truth would crush her.",negative
437119,Frasier,10,1,Frasier,"Oh, please!  All the wine presses in Bordeaux wouldn't crush that woman. Niles, what you and Daphne shared today was utterly unique.",1,male,43711,2002,22,2002-2005,"Oh, please!  All the wine presses in Bordeaux wouldn't crush that woman. Niles, what you and Daphne shared today was utterly unique.",positive
437134,Frasier,10,1,Frasier,"Yes, it was a singular moment.  Anyone fooled by a repeat performance would have to be a complete imbecile.",1,male,43713,2002,19,2002-2005,"Yes, it was a singular moment.  Anyone fooled by a repeat performance would have to be a complete imbecile.",negative
437144,Frasier,10,1,Niles,"True.  But, if it's what Daphne wants, I'll support her.  We'll get Roz back, we'll find a different judge and we'll just do it all over again. And, it'll be just as perfect as today's was.",1,male,43714,2002,37,2002-2005,"True.  But, if it's what Daphne wants, I'll support her.  We'll get Roz back, we'll find a different judge and we'll just do it all over again. And, it'll be just as perfect as today's was.",positive
437153,Frasier,10,1,Frasier,Fine.  But I'm not singing Wonderful World again.,1,male,43715,2002,8,2002-2005,Fine.  But I'm not singing Wonderful World again.,neutral
437174,Frasier,10,1,Niles,Remember how excited we were at our first wedding?,1,male,43717,2002,8,2002-2005,Remember how excited we were at our first wedding?,positive
437184,Frasier,10,1,Daphne,"Yeah, we were both shaking.",2,female,43718,2002,4,2002-2005,"Yeah, we were both shaking.",neutral
437203,Frasier,10,1,Daphne,"Hey, I noticed the first time you promised me your honesty and protection, but not the second time.",2,female,43720,2002,17,2002-2005,"Hey, I noticed the first time you promised me your honesty and protection, but not the second time.",negative
437219,Frasier,10,1,Niles,"No, because I vowed to always be true and to be your constant champion. It's the same thing.",1,male,43721,2002,17,2002-2005,"No, because I vowed to always be true and to be your constant champion. It's the same thing.",positive
437233,Frasier,10,1,Niles,"You liked it better the first way.Okay, we can go back to that.",1,male,43723,2002,12,2002-2005,"You liked it better the first way.Okay, we can go back to that.",positive
437264,Frasier,10,1,Daphne,"Nope, same old, same old.",2,female,43726,2002,4,2002-2005,"Nope, same old, same old.",negative
437284,Frasier,10,1,Roz,"Oh, upset stomach.  On the way home yesterday she snacked on the leftover petals in her basket.  So, I'm sorry, but I won't be able to join you for dinner.",2,female,43728,2002,31,2002-2005,"Oh, upset stomach.  On the way home yesterday she snacked on the leftover petals in her basket.  So, I'm sorry, but I won't be able to join you for dinner.",negative
437303,Frasier,10,1,Roz,You could have stopped her you know.,2,female,43730,2002,6,2002-2005,You could have stopped her you know.,neutral
437334,Frasier,10,1,Frasier,"Oh, dear lord, is that... Donny?  Everybody, look at your shoes!",1,male,43733,2002,11,2002-2005,"Oh, dear lord, is that... Donny?  Everybody, look at your shoes!",negative
437343,Frasier,10,1,Donny,"Wait a minute, Daph... is that Daphne?",1,male,43734,2002,6,2002-2005,"Wait a minute, Daph... is that Daphne?",neutral
437383,Frasier,10,1,Donny,"Everybody.  Boy, I hope this isn't uncomfortable.",1,male,43738,2002,7,2002-2005,"Everybody.  Boy, I hope this isn't uncomfortable.",negative
437394,Frasier,10,1,Frasier,"No, no, not at all.  Say, is that a drinking fountain over there?",1,male,43739,2002,13,2002-2005,"No, no, not at all.  Say, is that a drinking fountain over there?",negative
437418,Frasier,10,1,Donny,"Well, Niles, Daphne, I'd like you to meet Bridgett, my fiancee.",1,male,43741,2002,10,2002-2005,"Well, Niles, Daphne, I'd like you to meet Bridgett, my fiancee.",neutral
437454,Frasier,10,1,Donny,"Thank you.  I know that I was getting married the last time you ran into me, but this time I found the real thing.",1,male,43745,2002,24,2002-2005,"Thank you.  I know that I was getting married the last time you ran into me, but this time I found the real thing.",positive
437474,Frasier,10,1,Donny,"Yeah.  You know, if you hadn't left me I never would have met my ex wife who introduced me to Bridgett, so, in a weird way, you played a big part in my eventual happiness.",1,male,43747,2002,34,2002-2005,"Yeah.  You know, if you hadn't left me I never would have met my ex wife who introduced me to Bridgett, so, in a weird way, you played a big part in my eventual happiness.",positive
437483,Frasier,10,1,Niles,That's a very healthy perspective.,1,male,43748,2002,4,2002-2005,That's a very healthy perspective.,positive
437493,Frasier,10,1,Donny,"I think so too.  So, what are you guys doing here?",1,male,43749,2002,11,2002-2005,"I think so too.  So, what are you guys doing here?",neutral
437504,Frasier,10,1,Daphne,Niles and I are getting married.,2,female,43750,2002,5,2002-2005,Niles and I are getting married.,neutral
437519,Frasier,10,1,Donny,"Well, congratulations.  That is great.",1,male,43751,2002,5,2002-2005,"Well, congratulations.  That is great.",positive
437534,Frasier,10,1,Donny,"Well, it's great.  It's nice seeing you and I hope you'll come to our wedding.",1,male,43753,2002,15,2002-2005,"Well, it's great.  It's nice seeing you and I hope you'll come to our wedding.",positive
437554,Frasier,10,1,Donny,Really?  You'd be okay with that?,1,male,43755,2002,6,2002-2005,Really?  You'd be okay with that?,neutral
437574,Frasier,10,1,Niles,"Of course, it's anybody's guess how long we could be waiting here.",1,male,43757,2002,11,2002-2005,"Of course, it's anybody's guess how long we could be waiting here.",negative
437584,Frasier,10,1,Niles,"Who had one second?  Everyone, it's time.",1,male,43758,2002,7,2002-2005,"Who had one second?  Everyone, it's time.",neutral
437594,Frasier,10,1,Frasier,"Well, here we go then.",1,male,43759,2002,4,2002-2005,"Well, here we go then.",neutral
437619,Frasier,10,1,Niles,"Uh, I, Niles Crane take you, Daphne Moon, to be my wife.  I, I vow to you my, my fidelity and support, honor, respect, uh, honesty, protection, and... support...you are my comfort and joy and, oh, shoot, there's one more...",1,male,43761,2002,40,2002-2005,"Uh, I, Niles Crane take you, Daphne Moon, to be my wife.  I, I vow to you my, my fidelity and support, honor, respect, uh, honesty, protection, and... support...you are my comfort and joy and, oh, shoot, there's one more...",positive
437634,Frasier,10,1,Niles,"One true love!  That's right.  Okay, you go.",1,male,43763,2002,9,2002-2005,"One true love!  That's right.  Okay, you go.",positive
437644,Frasier,10,1,Daphne," Okay, you go""?  I, Daphne Moon, do...  I'm sorry, this is wrong.  I can't stand here and rattle off a bunch of words that don't mean anything anymore. I can't go through with this.",2,female,43764,2002,36,2002-2005," Okay, you go""?  I, Daphne Moon, do...  I'm sorry, this is wrong.  I can't stand here and rattle off a bunch of words that don't mean anything anymore. I can't go through with this.",negative
437654,Frasier,10,1,Donny,"YES!  I KNEW IT!Now you know what it's like to have the love of your life dump you at the altar!  And good luck trying to find somebody as good, because she just ain't out there!",1,male,43765,2002,37,2002-2005,"YES!  I KNEW IT!Now you know what it's like to have the love of your life dump you at the altar!  And good luck trying to find somebody as good, because she just ain't out there!",negative
437674,Frasier,10,1,Donny,"No, no.  Bridgett, Bridgett!",1,male,43767,2002,4,2002-2005,"No, no.  Bridgett, Bridgett!",neutral
437683,Frasier,10,1,Daphne,"I'm sorry everyone, but Niles and I, we're already married.",2,female,43768,2002,9,2002-2005,"I'm sorry everyone, but Niles and I, we're already married.",neutral
437694,Frasier,10,1,Frasier,"Mrs. Moon, I'm afraid it's true.  Niles and Daphne are already married, and they were simply trying to spare your feelings.",1,male,43769,2002,21,2002-2005,"Mrs. Moon, I'm afraid it's true.  Niles and Daphne are already married, and they were simply trying to spare your feelings.",negative
437719,Frasier,10,1,Frasier,I was talking about yesterday.  What happened in Reno?,1,male,43771,2002,9,2002-2005,I was talking about yesterday.  What happened in Reno?,neutral
